# 本文件为【模拟数据】, 仅用于演示 dlt_tool 的分析能力, 非真实开奖记录。
# 生成方式: 固定随机种子 seed=20240920, 均匀随机抽取, 仅供统计分析教学演示。
# 字段: 期号,开奖日期,前区1..前区5,后区1,后区2
期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2
SIM00001,2015-01-03,2,11,14,27,35,4,12
SIM00002,2015-01-06,10,11,20,23,24,2,11
SIM00003,2015-01-09,6,8,11,34,35,6,8
SIM00004,2015-01-12,6,11,14,19,34,6,7
SIM00005,2015-01-15,12,14,17,20,29,6,10
SIM00006,2015-01-18,2,4,11,28,30,2,7
SIM00007,2015-01-21,3,6,15,24,25,3,11
SIM00008,2015-01-24,14,20,24,27,31,4,5
SIM00009,2015-01-27,3,4,21,25,30,1,10
SIM00010,2015-01-30,6,13,15,22,29,3,11
SIM00011,2015-02-02,1,3,19,28,34,3,8
SIM00012,2015-02-05,11,16,19,31,33,6,11
SIM00013,2015-02-08,12,16,21,29,34,3,12
SIM00014,2015-02-11,4,7,12,19,20,5,9
SIM00015,2015-02-14,15,19,20,27,28,3,10
SIM00016,2015-02-17,1,6,9,23,34,3,9
SIM00017,2015-02-20,5,10,11,18,35,9,12
SIM00018,2015-02-23,15,30,31,33,34,7,9
SIM00019,2015-02-26,6,13,15,24,25,1,8
SIM00020,2015-03-01,11,12,18,27,33,6,8
SIM00021,2015-03-04,3,4,11,12,33,1,2
SIM00022,2015-03-07,14,19,23,31,34,2,3
SIM00023,2015-03-10,2,3,6,9,20,6,9
SIM00024,2015-03-13,2,9,18,30,35,1,9
SIM00025,2015-03-16,1,19,20,30,32,1,9
SIM00026,2015-03-19,2,21,22,27,35,4,6
SIM00027,2015-03-22,3,16,29,32,33,7,11
SIM00028,2015-03-25,2,3,4,16,29,3,10
SIM00029,2015-03-28,1,2,20,28,33,1,12
SIM00030,2015-03-31,2,15,16,17,26,5,12
SIM00031,2015-04-03,4,7,23,27,35,2,6
SIM00032,2015-04-06,3,8,10,13,24,3,12
SIM00033,2015-04-09,14,17,23,29,31,2,8
SIM00034,2015-04-12,3,9,10,33,35,9,10
SIM00035,2015-04-15,6,14,16,17,19,2,5
SIM00036,2015-04-18,16,20,24,28,34,2,4
SIM00037,2015-04-21,1,5,20,23,24,2,8
SIM00038,2015-04-24,2,11,17,24,27,5,7
SIM00039,2015-04-27,15,20,21,30,34,4,11
SIM00040,2015-04-30,2,9,19,21,32,5,6
SIM00041,2015-05-03,6,10,16,17,28,2,7
SIM00042,2015-05-06,3,11,16,26,33,8,11
SIM00043,2015-05-09,1,22,23,32,35,8,11
SIM00044,2015-05-12,6,15,20,25,29,7,12
SIM00045,2015-05-15,3,12,14,15,22,9,11
SIM00046,2015-05-18,7,11,14,18,35,2,12
SIM00047,2015-05-21,4,7,8,11,21,4,9
SIM00048,2015-05-24,7,13,21,28,31,6,11
SIM00049,2015-05-27,6,12,23,24,34,7,11
SIM00050,2015-05-30,5,6,12,17,28,10,12
SIM00051,2015-06-02,10,13,25,26,31,6,9
